Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10nF 100V","C0603",159.300000,-118.300000,180.000000,top
"C2","100nF 16V","C0603",162.100000,-116.500000,-90.000000,top
"C3","47uF 100V","CAP-SMD_BD10.0-L10.3-W10.3-FD-LS11.0",162.500000,-127.700000,90.000000,top
"C4","470nF","C0603",156.800000,-106.000000,180.000000,top
"C5","47uF 100V","CAP-SMD_BD10.0-L10.3-W10.3-FD-LS11.0",150.700000,-127.700000,90.000000,top
"C7","100nF 100V","C0603",164.100000,-116.500000,90.000000,top
"C8","100nF 100V","C0603",162.300000,-107.200000,-90.000000,top
"H1","PinHeader 2x7 2.54mm","PinSocket_2x07_P2.54mm_Vertical",145.340000,-91.500000,90.000000,top
"LED1","Yellow","LED0603-R-RD",164.000000,-92.850900,-90.000000,top
"P1","TerminalBlock 5P 5.0mm","TerminalBlock_MaiXu_MX126-5.0-05P_1x05_P5.00mm",179.000000,-121.000000,90.000000,top
"R1","10kΩ","R0603",152.545000,-99.753400,90.000000,top
"R2","10kΩ","R0603",154.500000,-99.753400,90.000000,top
"R3","10kΩ","R0603",156.500000,-99.753400,90.000000,top
"R5","1kΩ","R0603",159.246600,-100.000000,0.000000,top
"R8","50mΩ","R_2512_6332Metric",167.500000,-115.262500,-90.000000,top
"R9","43kΩ","R0603",159.253400,-103.600000,0.000000,top
"R10","62kΩ","R0603",159.246600,-101.800000,0.000000,top
"R11","1kΩ","R0603",163.646600,-103.500000,0.000000,top
"R12","10kΩ","R0603",150.545000,-99.753400,-90.000000,top
"SJ1","JMP","SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm",165.450000,-100.800000,0.000000,top
"SJ2","JMP","SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm",165.450000,-97.000000,0.000000,top
"SJ3","JMP","SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm",169.450000,-98.900000,0.000000,top
"TB_PWR1","TerminalBlock 2P 5.0mm","TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm",140.300000,-108.500000,-90.000000,top
"U1","DRV8313PWPR","HTSSOP-28_L9.8-W4.5-P0.65-LS6.6-BL-EP",155.634100,-112.225000,90.000000,top
